Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source
1999-05-04 00:00:00-04:00,52.31351602395094,53.173935695397496,48.18350160100744,48.441627502441406,22320900,0.0,0.0,Barchart (via proxy)
1999-05-05 00:00:00-04:00,48.097432079625605,48.097432079625605,45.60221646189905,47.581180572509766,7565700,0.0,0.0,Barchart (via proxy)
1999-05-06 00:00:00-04:00,46.806814914903406,47.753276245903294,46.16150037103985,46.7637939453125,2905700,0.0,0.0,Barchart (via proxy)
1999-05-07 00:00:00-04:00,46.763814167067736,51.53914385662111,45.946415391378416,51.022891998291016,4862300,0.0,0.0,Barchart (via proxy)
1999-05-10 00:00:00-04:00,50.50662495877024,50.59266690929625,48.35557619561988,48.65672302246094,2589400,0.0,0.0,Barchart (via proxy)
1999-05-11 00:00:00-04:00,48.18351002921045,49.000908860063134,47.83934210043038,48.61371994018555,1839800,0.0,0.0,Barchart (via proxy)
1999-05-12 00:00:00-04:00,48.87184236487564,51.53914362070512,47.58121272495815,50.592681884765625,2659300,0.0,0.0,Barchart (via proxy)
1999-05-13 00:00:00-04:00,50.42061117874263,51.79728315631922,49.90435918715141,50.37759017944336,1142900,0.0,0.0,Barchart (via proxy)
1999-05-14 00:00:00-04:00,49.0439138302077,49.73224946291237,47.53817963366623,48.31255722045898,2058400,0.0,0.0,Barchart (via proxy)
1999-05-17 00:00:00-04:00,47.5812016679941,48.355579271994,46.8068240639942,47.23703384399414,2075000,0.0,0.0,Barchart (via proxy)
1999-05-18 00:00:00-04:00,46.978907975994176,48.48464220599399,46.89286601999419,47.23703384399414,1407100,0.0,0.0,Barchart (via proxy)
1999-05-19 00:00:00-04:00,47.75326800195885,48.054414737106335,47.32305838031958,47.71024703979492,727400,0.0,0.0,Barchart (via proxy)
1999-05-20 00:00:00-04:00,47.882359244923705,48.269548133696674,47.06496047973633,47.06496047973633,520800,0.0,0.0,Barchart (via proxy)
1999-05-21 00:00:00-04:00,46.89288697419344,47.36611794365777,46.462677001953125,46.462677001953125,936200,0.0,0.0,Barchart (via proxy)
1999-05-24 00:00:00-04:00,46.11850264699836,46.2905866120991,44.74183092619244,44.95693588256836,1493000,0.0,0.0,Barchart (via proxy)
1999-05-25 00:00:00-04:00,44.13951820550963,45.38712641989538,44.05347625968992,44.39764404296875,1662400,0.0,0.0,Barchart (via proxy)
1999-05-26 00:00:00-04:00,45.1720319836345,45.86036770909941,43.40817168713068,45.47317886352539,1602900,0.0,0.0,Barchart (via proxy)
1999-05-27 00:00:00-04:00,44.74180862032619,46.63473129272461,44.52670377119001,46.63473129272461,1220500,0.0,0.0,Barchart (via proxy)
1999-05-28 00:00:00-04:00,46.63473103653979,47.36608751958516,46.118479401448944,46.7637939453125,901900,0.0,0.0,Barchart (via proxy)
1999-06-01 00:00:00-04:00,45.8603549426115,45.8603549426115,43.75232737020253,44.18253707885742,953900,0.0,0.0,Barchart (via proxy)
1999-06-02 00:00:00-04:00,43.88140312767783,44.09650804497036,42.67681559083962,43.537235260009766,2204300,0.0,0.0,Barchart (via proxy)
1999-06-03 00:00:00-04:00,44.05348262524558,44.18254556262423,43.45118891747855,43.79535675048828,852600,0.0,0.0,Barchart (via proxy)
1999-06-04 00:00:00-04:00,44.268582404229655,46.11848429284178,44.268582404229655,44.99993896484375,1357400,0.0,0.0,Barchart (via proxy)
